no,varname,class,isuse_Tree,isuse_Tree_2,memo
1,PassengerId,integer,0,0,autoNo(NotUsed)
2,Survived,integer,0,0,objective variable
3,Pclass,integer,1,1,explanatory variable candidates
4,Name,character,0,0,explanatory variable candidates
5,Sex,character,1,1,explanatory variable candidates
6,Age,numeric,1,1,explanatory variable candidates
7,SibSp,integer,1,0,explanatory variable candidates
8,Parch,integer,1,0,explanatory variable candidates
9,Ticket,character,0,0,explanatory variable candidates
10,Fare,numeric,1,1,explanatory variable candidates
11,Cabin,character,0,0,explanatory variable candidates
12,Embarked,character,1,0,explanatory variable candidates
