no,varname,class,type,isuse,isuse_Tree,fileName
1,autoNo,integer,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
2,no,integer,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
3,id,integer,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
4,cuisine,character,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
5,num_ingredients,integer,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
6,ingredients_str,character,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
7,ing0001_salt,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
8,ing0002_onions,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
9,ing0003_olive oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
10,ing0004_water,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
11,ing0005_garlic,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
12,ing0006_sugar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
13,ing0007_garlic cloves,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
14,ing0008_butter,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
15,ing0009_ground black pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
16,ing0010_all-purpose flour,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
17,ing0011_vegetable oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
18,ing0012_pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
19,ing0013_eggs,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
20,ing0014_soy sauce,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
21,ing0015_kosher salt,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
22,ing0016_green onions,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
