"no","ingredients","cnt","total","ratio","filename"
1,"salt",22534,535670,0.0420669442007206,"train_test"
2,"onions",10008,535670,0.0186831444732765,"train_test"
3,"olive oil",9889,535670,0.0184609927754028,"train_test"
4,"water",9293,535670,0.0173483674650438,"train_test"
5,"garlic",9171,535670,0.0171206153041985,"train_test"
6,"sugar",8064,535670,0.015054044467676,"train_test"
7,"garlic cloves",7772,535670,0.0145089327384397,"train_test"
8,"butter",6078,535670,0.0113465379804731,"train_test"
9,"ground black pepper",5990,535670,0.011182257733306,"train_test"
10,"all-purpose flour",5816,535670,0.0108574308809528,"train_test"
11,"vegetable oil",5516,535670,0.0102973845837923,"train_test"
12,"pepper",5508,535670,0.010282450015868,"train_test"
13,"eggs",4262,535670,0.0079563910616611,"train_test"
14,"soy sauce",4120,535670,0.0076913024810051,"train_test"
15,"kosher salt",3930,535670,0.0073366064928034,"train_test"
16,"green onions",3817,535670,0.00712565572087293,"train_test"
17,"tomatoes",3812,535670,0.00711632161592025,"train_test"
18,"large eggs",3700,535670,0.00690723766498031,"train_test"
19,"carrots",3542,535670,0.00661227994847574,"train_test"
20,"unsalted butter",3474,535670,0.00648533612111935,"train_test"
21,"ground cumin",3431,535670,0.00640506281852633,"train_test"
22,"extra-virgin olive oil",3424,535670,0.00639199507159259,"train_test"
23,"black pepper",3291,535670,0.0061437078798514,"train_test"
24,"milk",2851,535670,0.00532230664401591,"train_test"
25,"chili powder",2519,535670,0.00470252207515821,"train_test"
26,"oil",2426,535670,0.00452890772303844,"train_test"
27,"red bell pepper",2423,535670,0.00452330726006683,"train_test"
28,"purple onion",2372,535670,0.00442809938954954,"train_test"
29,"scallions",2372,535670,0.00442809938954954,"train_test"
30,"grated parmesan cheese",2367,535670,0.00441876528459686,"train_test"
31,"corn starch",2230,535670,0.00416301080889354,"train_test"
32,"ginger",2190,535670,0.00408833796927213,"train_test"
33,"sesame oil",2183,535670,0.00407527022233838,"train_test"
34,"jalapeno chilies",2170,535670,0.00405100154946142,"train_test"
35,"baking powder",2168,535670,0.00404726790748035,"train_test"
36,"dried oregano",2163,535670,0.00403793380252768,"train_test"
37,"chopped cilantro fresh",2128,535670,0.00397259506785894,"train_test"
38,"fresh lemon juice",2105,535670,0.00392965818507663,"train_test"
39,"diced tomatoes",2065,535670,0.00385498534545522,"train_test"
40,"minced garlic",2001,535670,0.00373550880206097,"train_test"
41,"fresh parsley",1988,535670,0.00371124012918401,"train_test"
42,"sour cream",1959,535670,0.00365710232045849,"train_test"
43,"chicken broth",1949,535670,0.00363843411055314,"train_test"
44,"cayenne pepper",1892,535670,0.00353202531409263,"train_test"
45,"cooking spray",1854,535670,0.00346108611645229,"train_test"
46,"brown sugar",1852,535670,0.00345735247447122,"train_test"
47,"fresh ginger",1846,535670,0.00344615154852801,"train_test"
48,"shallots",1837,535670,0.00342935015961319,"train_test"
49,"lime",1820,535670,0.0033976142027741,"train_test"
50,"garlic powder",1785,535670,0.00333227546810536,"train_test"
51,"lemon juice",1746,535670,0.00325946944947449,"train_test"
52,"fresh lime juice",1714,535670,0.00319973117777736,"train_test"
53,"flour",1703,535670,0.00317919614688148,"train_test"
54,"honey",1635,535670,0.00305225231952508,"train_test"
55,"vanilla extract",1626,535670,0.00303545093061026,"train_test"
56,"paprika",1625,535670,0.00303358410961973,"train_test"
57,"fish sauce",1587,535670,0.00296264491197939,"train_test"
58,"chopped onion",1561,535670,0.00291410756622547,"train_test"
59,"canola oil",1558,535670,0.00290850710325387,"train_test"
60,"lemon",1556,535670,0.0029047734612728,"train_test"
61,"ground cinnamon",1537,535670,0.00286930386245263,"train_test"
62,"rice vinegar",1528,535670,0.00285250247353781,"train_test"
63,"avocado",1514,535670,0.00282636697967032,"train_test"
64,"dry white wine",1492,535670,0.00278529691787854,"train_test"
65,"yellow onion",1487,535670,0.00277596281292587,"train_test"
66,"green bell pepper",1471,535670,0.00274609367707731,"train_test"
67,"heavy cream",1466,535670,0.00273675957212463,"train_test"
68,"tomato paste",1438,535670,0.00268448858438964,"train_test"
69,"cilantro leaves",1438,535670,0.00268448858438964,"train_test"
70,"cilantro",1423,535670,0.00265648626953161,"train_test"
71,"fresh basil",1397,535670,0.0026079489237777,"train_test"
72,"white sugar",1392,535670,0.00259861481882502,"train_test"
73,"boneless skinless chicken breasts",1377,535670,0.00257061250396699,"train_test"
74,"flat leaf parsley",1358,535670,0.00253514290514683,"train_test"
75,"lime juice",1329,535670,0.0024810050964213,"train_test"
76,"bay leaves",1329,535670,0.0024810050964213,"train_test"
77,"chicken stock",1306,535670,0.00243806821363899,"train_test"
78,"potatoes",1272,535670,0.0023745962999608,"train_test"
79,"chicken",1237,535670,0.00230925756529206,"train_test"
80,"corn tortillas",1224,535670,0.00228498889241511,"train_test"
81,"salsa",1221,535670,0.0022793884294435,"train_test"
82,"ground turmeric",1201,535670,0.0022420520096328,"train_test"
83,"cumin seed",1189,535670,0.00221965015774637,"train_test"
84,"freshly ground pepper",1183,535670,0.00220844923180316,"train_test"
85,"cumin",1183,535670,0.00220844923180316,"train_test"
86,"garam masala",1179,535670,0.00220098194784102,"train_test"
87,"baking soda",1176,535670,0.00219538148486942,"train_test"
88,"sea salt",1162,535670,0.00216924599100192,"train_test"
89,"shrimp",1145,535670,0.00213751003416282,"train_test"
90,"black beans",1143,535670,0.00213377639218175,"train_test"
91,"zucchini",1109,535670,0.00207030447850356,"train_test"
92,"large garlic cloves",1096,535670,0.0020460358056266,"train_test"
93,"dried thyme",1096,535670,0.0020460358056266,"train_test"
94,"buttermilk",1077,535670,0.00201056620680643,"train_test"
95,"flour tortillas",1076,535670,0.00200869938581589,"train_test"
96,"tomato sauce",1073,535670,0.00200309892284429,"train_test"
97,"bay leaf",1072,535670,0.00200123210185375,"train_test"
98,"granulated sugar",1066,535670,0.00199003117591054,"train_test"
99,"celery",1060,535670,0.00197883024996733,"train_test"
100,"ground beef",1057,535670,0.00197322978699573,"train_test"
101,"coconut milk",1056,535670,0.00197136296600519,"train_test"
102,"fresh cilantro",1052,535670,0.00196389568204305,"train_test"
103,"plum tomatoes",1043,535670,0.00194709429312823,"train_test"
104,"crushed red pepper",1028,535670,0.0019190919782702,"train_test"
105,"chicken breasts",997,535670,0.00186122052756361,"train_test"
106,"ground coriander",996,535670,0.00185935370657308,"train_test"
107,"chopped cilantro",988,535670,0.0018444191386488,"train_test"
108,"mayonaise",983,535670,0.00183508503369612,"train_test"
109,"whole milk",974,535670,0.0018182836447813,"train_test"
110,"cucumber",970,535670,0.00181081636081916,"train_test"
111,"green chilies",964,535670,0.00179961543487595,"train_test"
112,"shredded cheddar cheese",948,535670,0.00176974629902739,"train_test"
113,"tumeric",933,535670,0.00174174398416936,"train_test"
114,"red wine vinegar",924,535670,0.00172494259525454,"train_test"
115,"white onion",898,535670,0.00167640524950063,"train_test"
116,"cinnamon",878,535670,0.00163906882968992,"train_test"
117,"curry powder",877,535670,0.00163720200869939,"train_test"
118,"sesame seeds",859,535670,0.00160359923086975,"train_test"
119,"worcestershire sauce",851,535670,0.00158866466294547,"train_test"
120,"ground ginger",850,535670,0.00158679784195493,"train_test"
121,"hot sauce",850,535670,0.00158679784195493,"train_test"
122,"red pepper flakes",830,535670,0.00154946142214423,"train_test"
123,"red chili peppers",828,535670,0.00154572778016316,"train_test"
124,"cinnamon sticks",798,535670,0.0014897231504471,"train_test"
125,"bacon",780,535670,0.00145612037261747,"train_test"
126,"whipping cream",779,535670,0.00145425355162693,"train_test"
127,"clove",768,535670,0.00143371852073105,"train_test"
128,"boneless skinless chicken breast halves",766,535670,0.00142998487874998,"train_test"
129,"peanut oil",760,535670,0.00141878395280677,"train_test"
130,"ground nutmeg",742,535670,0.00138518117497713,"train_test"
131,"warm water",742,535670,0.00138518117497713,"train_test"
132,"peeled fresh ginger",730,535670,0.00136277932309071,"train_test"
133,"mushrooms",724,535670,0.0013515783971475,"train_test"
134,"coarse salt",724,535670,0.0013515783971475,"train_test"
135,"large egg yolks",723,535670,0.00134971157615696,"train_test"
136,"celery ribs",722,535670,0.00134784475516643,"train_test"
137,"dried basil",721,535670,0.00134597793417589,"train_test"
138,"parmesan cheese",717,535670,0.00133851065021375,"train_test"
139,"cream cheese",710,535670,0.00132544290328,"train_test"
140,"ground red pepper",697,535670,0.00130117423040305,"train_test"
141,"balsamic vinegar",696,535670,0.00129930740941251,"train_test"
142,"white vinegar",687,535670,0.00128250602049769,"train_test"
143,"egg yolks",681,535670,0.00127130509455448,"train_test"
144,"capers",671,535670,0.00125263688464913,"train_test"
145,"crushed red pepper flakes",646,535670,0.00120596635988575,"train_test"
146,"onion powder",644,535670,0.00120223271790468,"train_test"
147,"rice",643,535670,0.00120036589691414,"train_test"
148,"dijon mustard",642,535670,0.00119849907592361,"train_test"
149,"cold water",636,535670,0.0011872981499804,"train_test"
150,"mirin",626,535670,0.00116862994007505,"train_test"
151,"eggplant",626,535670,0.00116862994007505,"train_test"
152,"large egg whites",624,535670,0.00116489629809398,"train_test"
153,"powdered sugar",616,535670,0.00114996173016969,"train_test"
154,"fresh basil leaves",615,535670,0.00114809490917916,"train_test"
155,"lime wedges",613,535670,0.00114436126719809,"train_test"
156,"cooking oil",605,535670,0.00112942669927381,"train_test"
157,"cayenne",603,535670,0.00112569305729274,"train_test"
158,"sliced green onions",602,535670,0.0011238262363022,"train_test"
159,"raisins",595,535670,0.00111075848936845,"train_test"
160,"fat free less sodium chicken broth",588,535670,0.00109769074243471,"train_test"
161,"beansprouts",585,535670,0.0010920902794631,"train_test"
162,"ground pork",585,535670,0.0010920902794631,"train_test"
163,"shredded mozzarella cheese",581,535670,0.00108462299550096,"train_test"
164,"mozzarella cheese",577,535670,0.00107715571153882,"train_test"
165,"red pepper",576,535670,0.00107528889054829,"train_test"
166,"black peppercorns",569,535670,0.00106222114361454,"train_test"
167,"sauce",568,535670,0.001060354322624,"train_test"
168,"sweet potatoes",567,535670,0.00105848750163347,"train_test"
169,"cheese",565,535670,0.0010547538596524,"train_test"
170,"coriander",560,535670,0.00104541975469972,"train_test"
171,"cherry tomatoes",560,535670,0.00104541975469972,"train_test"
172,"medium shrimp",558,535670,0.00104168611271865,"train_test"
173,"ketchup",557,535670,0.00103981929172812,"train_test"
174,"cheddar cheese",556,535670,0.00103795247073758,"train_test"
175,"oyster sauce",556,535670,0.00103795247073758,"train_test"
176,"leeks",555,535670,0.00103608564974705,"train_test"
177,"crushed tomatoes",555,535670,0.00103608564974705,"train_test"
178,"egg whites",555,535670,0.00103608564974705,"train_test"
179,"fresh mint",551,535670,0.0010286183657849,"train_test"
180,"white pepper",544,535670,0.00101555061885116,"train_test"
181,"oregano",544,535670,0.00101555061885116,"train_test"
182,"finely chopped onion",539,535670,0.00100621651389848,"train_test"
183,"low sodium soy sauce",533,535670,0.000995015587955271,"train_test"
184,"chopped celery",533,535670,0.000995015587955271,"train_test"
185,"fresh rosemary",531,535670,0.000991281945974201,"train_test"
186,"large shrimp",517,535670,0.000965146452106707,"train_test"
187,"hoisin sauce",515,535670,0.000961412810125637,"train_test"
188,"light brown sugar",515,535670,0.000961412810125637,"train_test"
189,"spring onions",509,535670,0.000950211884182426,"train_test"
190,"cabbage",507,535670,0.000946478242201355,"train_test"
191,"peanuts",506,535670,0.00094461142121082,"train_test"
192,"vegetable broth",506,535670,0.00094461142121082,"train_test"
193,"cooked rice",505,535670,0.000942744600220285,"train_test"
194,"cracked black pepper",505,535670,0.000942744600220285,"train_test"
195,"confectioners sugar",501,535670,0.000935277316258144,"train_test"
196,"ground pepper",500,535670,0.000933410495267609,"train_test"
197,"chickpeas",500,535670,0.000933410495267609,"train_test"
198,"bell pepper",500,535670,0.000933410495267609,"train_test"
199,"coriander seeds",498,535670,0.000929676853286538,"train_test"
200,"active dry yeast",486,535670,0.000907275001400116,"train_test"
201,"italian seasoning",483,535670,0.00090167453842851,"train_test"
202,"lean ground beef",482,535670,0.000899807717437975,"train_test"
203,"green pepper",481,535670,0.00089794089644744,"train_test"
204,"low salt chicken broth",481,535670,0.00089794089644744,"train_test"
205,"feta cheese crumbles",476,535670,0.000888606791494764,"train_test"
206,"frozen peas",476,535670,0.000888606791494764,"train_test"
